Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
1968. Array With Elements Not Equal to Average of Neighbors,Medium,79.3K,40.1K,50.5%,628,7,"array, greedy, sorting"
1969. Minimum Non-Zero Product of the Array Elements,Medium,34.4K,12.3K,35.9%,247,9,"math, greedy, recursion"
1970. Last Day Where You Can Still Cross,Hard,94.1K,58.3K,61.9%,1.9K,71,"array, binary-search, depth-first-search, breadth-first-search, union-find, matrix"
1971. Find if Path Exists in Graph,Easy,897.8K,483.5K,53.9%,3.9K,188,"depth-first-search, breadth-first-search, union-find, graph"
1974. Minimum Time to Type Word Using Special Typewriter,Easy,62.4K,47.4K,75.9%,698,11,"string, greedy"
1975. Maximum Matrix Sum,Medium,40K,20.2K,50.4%,562,5,"array, greedy, matrix"
1976. Number of Ways to Arrive at Destination,Medium,297.2K,82.5K,27.8%,2.9K,83,"dynamic-programming, graph, topological-sort, shortest-path"
1977. Number of Ways to Separate Numbers,Hard,32.4K,6.8K,20.9%,519,12,"string, dynamic-programming, suffix-array"
1978. Employees Whose Manager Left the Company,Easy,337.9K,164.8K,48.8%,394,35,database
1979. Find Greatest Common Divisor of Array,Easy,198.4K,155.3K,78.3%,1.1K,22,"array, math, number-theory"
1980. Find Unique Binary String,Medium,195.2K,145.9K,74.8%,2K,76,"array, hash-table, string, backtracking"
1981. Minimize the Difference Between Target and Chosen Elements,Medium,86.6K,30.6K,35.4%,967,5,"array, dynamic-programming, matrix"
1982. Find Array Given Subset Sums,Hard,12.3K,6K,48.9%,591,8,"array, divide-and-conquer"
1984. Minimum Difference Between Highest and Lowest of K Scores,Easy,151K,86.9K,57.6%,1K,32,"array, sliding-window, sorting"
1985. Find the Kth Largest Integer in the Array,Medium,159.1K,73.3K,46.0%,1.3K,20,"array, string, divide-and-conquer, sorting, heap-priority-queue, quickselect"
1986. Minimum Number of Work Sessions to Finish the Tasks,Medium,83.4K,27.9K,33.5%,1.1K,9,"array, dynamic-programming, backtracking, bit-manipulation, bitmask"
1987. Number of Unique Good Subsequences,Hard,26.2K,13.6K,52.1%,705,18,"string, dynamic-programming"
1991. Find the Middle Index in Array,Easy,160.5K,108.7K,67.7%,1.4K,17,"array, prefix-sum"
1992. Find All Groups of Farmland,Medium,174.9K,132.5K,75.7%,1.4K,122,"array, depth-first-search, breadth-first-search, matrix"
1993. Operations on Tree,Medium,38.4K,17.8K,46.4%,468,13,"array, hash-table, tree, depth-first-search, breadth-first-search, design"
1994. The Number of Good Subsets,Hard,24.2K,8.6K,35.6%,476,9,"array, math, dynamic-programming, bit-manipulation, bitmask"
1995. Count Special Quadruplets,Easy,72.5K,44.9K,62.0%,641,14,"array, hash-table, enumeration"
1996. The Number of Weak Characters in the Game,Medium,242.4K,106.9K,44.1%,3K,11,"array, stack, greedy, sorting, monotonic-stack"
1997. First Day Where You Have Been in All the Rooms,Medium,26.9K,10.1K,37.7%,492,6,"array, dynamic-programming"
1998. GCD Sort of an Array,Hard,21.6K,10K,46.2%,500,9,"array, math, union-find, sorting, number-theory"
2000. Reverse Prefix of Word,Easy,332.7K,287.2K,86.3%,1.3K,100,"two-pointers, string, stack"
2001. Number of Pairs of Interchangeable Rectangles,Medium,86.8K,43.9K,50.6%,535,21,"array, hash-table, math, counting, number-theory"
2002. Maximum Product of the Length of Two Palindromic Subsequences,Medium,52.1K,31.7K,60.8%,956,17,"string, dynamic-programming, backtracking, bit-manipulation, bitmask"
2003. Smallest Missing Genetic Value in Each Subtree,Hard,19.2K,8.9K,46.6%,458,5,"dynamic-programming, tree, depth-first-search, union-find"
2006. Count Number of Pairs With Absolute Difference K,Easy,200.8K,169.4K,84.3%,1.7K,20,"array, hash-table, counting"
2007. Find Original Array From Doubled Array,Medium,342.1K,138.5K,40.5%,2.5K,6,"array, hash-table, greedy, sorting"
2008. Maximum Earnings From Taxi,Medium,75.9K,33.7K,44.4%,1.3K,12,"array, hash-table, binary-search, dynamic-programming, sorting"
2009. Minimum Number of Operations to Make Array Continuous,Hard,147.4K,77.5K,52.6%,1.9K,75,"array, hash-table, binary-search, sliding-window"
2011. Final Value of Variable After Performing Operations,Easy,481.7K,431K,89.5%,1.6K,44,"array, string, simulation"
2012. Sum of Beauty in the Array,Medium,51.5K,25K,48.6%,619,15,array
2013. Detect Squares,Medium,149.3K,76.8K,51.4%,912,15,"array, hash-table, design, counting"
2014. Longest Subsequence Repeated k Times,Hard,16.1K,9K,55.8%,465,7,"string, backtracking, greedy, counting, enumeration"
2016. Maximum Difference Between Increasing Elements,Easy,167.7K,96.4K,57.5%,1K,11,array
2017. Grid Game,Medium,57.7K,26.7K,46.2%,927,19,"array, matrix, prefix-sum"
2018. Check if Word Can Be Placed In Crossword,Medium,47K,23.4K,49.9%,303,10,"array, matrix, enumeration"
2019. The Score of Students Solving Math Expression,Hard,22.7K,7.6K,33.7%,275,10,"array, math, string, dynamic-programming, stack, memoization"
2022. Convert 1D Array Into 2D Array,Easy,347.9K,249K,71.6%,1.2K,99,"array, matrix, simulation"
2023. Number of Pairs of Strings With Concatenation Equal to Target,Medium,67.2K,50.5K,75.2%,714,14,"array, hash-table, string, counting"
2024. Maximize the Confusion of an Exam,Medium,167.6K,113.5K,67.7%,2.9K,58,"string, binary-search, sliding-window, prefix-sum"
2025. Maximum Number of Ways to Partition an Array,Hard,32.2K,11.1K,34.5%,491,6,"array, hash-table, counting, enumeration, prefix-sum"
2027. Minimum Moves to Convert String,Easy,75.7K,42.1K,55.6%,487,14,"string, greedy"
2028. Find Missing Observations,Medium,290.1K,166.7K,57.5%,1.1K,158,"array, math, simulation"
2029. Stone Game IX,Medium,31.5K,9.1K,28.9%,243,9,"array, math, greedy, counting, game-theory"
2030. Smallest K-Length Subsequence With Occurrences of a Letter,Hard,23.4K,9.2K,39.5%,489,7,"string, stack, greedy, monotonic-stack"
2032. Two Out of Three,Easy,100.4K,76.2K,75.9%,768,14,"array, hash-table, bit-manipulation"
2033. Minimum Operations to Make a Uni-Value Grid,Medium,45.3K,24.2K,53.5%,553,5,"array, math, sorting, matrix"
2034. Stock Price Fluctuation,Medium,147K,71.4K,48.6%,1.2K,13,"hash-table, design, heap-priority-queue, data-stream, ordered-set"
2035. Partition Array Into Two Arrays to Minimize Sum Difference,Hard,154.4K,32.2K,20.8%,3.2K,82,"array, two-pointers, binary-search, dynamic-programming, bit-manipulation, ordered-set, bitmask"
2037. Minimum Number of Moves to Seat Everyone,Easy,277.3K,242.7K,87.5%,1.3K,274,"array, greedy, sorting, counting-sort"
2038. Remove Colored Pieces if Both Neighbors are the Same Color,Medium,234.8K,147.5K,62.8%,1.6K,115,"math, string, greedy, game-theory"
2039. The Time When the Network Becomes Idle,Medium,31.1K,16.4K,52.8%,679,12,"array, breadth-first-search, graph"
2040. Kth Smallest Product of Two Sorted Arrays,Hard,42.8K,12.5K,29.2%,700,7,"array, binary-search"
2042. Check if Numbers Are Ascending in a Sentence,Easy,91K,64.1K,70.5%,623,9,string
2043. Simple Bank System,Medium,53.7K,34.2K,63.7%,277,20,"array, hash-table, design, simulation"
2044. Count Number of Maximum Bitwise-OR Subsets,Medium,151.7K,133.7K,88.2%,1.1K,122,"array, backtracking, bit-manipulation, enumeration"
2045. Second Minimum Time to Reach Destination,Hard,133.2K,83.9K,63.0%,1.2K,135,"breadth-first-search, graph, shortest-path"
2047. Number of Valid Words in a Sentence,Easy,110.6K,32.6K,29.5%,308,26,string
2048. Next Greater Numerically Balanced Number,Medium,29.8K,14.6K,48.8%,200,4,"math, backtracking, enumeration"
2049. Count Nodes With the Highest Score,Medium,59K,29.6K,50.3%,1.1K,31,"array, tree, depth-first-search, binary-tree"
2050. Parallel Courses III,Hard,125.5K,84.2K,67.1%,1.5K,83,"array, dynamic-programming, graph, topological-sort"
2053. Kth Distinct String in an Array,Easy,285.9K,234.7K,82.1%,1.2K,93,"array, hash-table, string, counting"
2054. Two Best Non-Overlapping Events,Medium,44.1K,20.6K,46.8%,849,10,"array, binary-search, dynamic-programming, sorting, heap-priority-queue"
2055. Plates Between Candles,Medium,129K,58.7K,45.5%,1.2K,19,"array, string, binary-search, prefix-sum"
2056. Number of Valid Move Combinations On Chessboard,Hard,8.6K,4.5K,52.2%,60,3,"array, string, backtracking, simulation"
2057. Smallest Index With Equal Value,Easy,94K,69K,73.4%,425,12,array
2058. Find the Minimum and Maximum Number of Nodes Between Critical Points,Medium,256.6K,178.6K,69.6%,1.3K,159,linked-list
2059. Minimum Operations to Convert Number,Medium,35.8K,17.8K,49.8%,645,6,"array, breadth-first-search"
2060. Check if an Original String Exists Given Two Encoded Strings,Hard,39.7K,17.4K,43.8%,313,13,"string, dynamic-programming"
2062. Count Vowel Substrings of a String,Easy,66.6K,45.8K,68.8%,967,21,"hash-table, string"
2063. Vowels of All Substrings,Medium,58.4K,31.7K,54.3%,843,11,"math, string, dynamic-programming, combinatorics"
2064. Minimized Maximum of Products Distributed to Any Store,Medium,64.8K,34.9K,53.9%,1.1K,15,"array, binary-search"
2065. Maximum Path Quality of a Graph,Hard,39.8K,23.5K,59.1%,654,11,"array, backtracking, graph"
2068. Check Whether Two Strings are Almost Equivalent,Easy,93.3K,59.8K,64.0%,533,13,"hash-table, string, counting"
2069. Walking Robot Simulation II,Medium,49.4K,13.1K,26.6%,178,13,"design, simulation"
2070. Most Beautiful Item for Each Query,Medium,36.8K,18.4K,49.9%,597,6,"array, binary-search, sorting"
2071. Maximum Number of Tasks You Can Assign,Hard,29.8K,10K,33.6%,544,6,"array, binary-search, greedy, queue, sorting, monotonic-queue"
2073. Time Needed to Buy Tickets,Easy,326.2K,228.4K,70.0%,1.7K,130,"array, queue, simulation"
2074. Reverse Nodes in Even Length Groups,Medium,50.5K,29.8K,59.1%,748,44,linked-list
2075. Decode the Slanted Ciphertext,Medium,30.2K,14.8K,49.1%,250,5,"string, simulation"
