Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
2726. Calculator with Method Chaining,Easy,42.2K,32.1K,76.1%,117,16,
2727. Is Object Empty,Easy,89.8K,72.5K,80.7%,180,19,
2729. Check if The Number is Fascinating,Easy,90.9K,47.7K,52.5%,234,11,"hash-table, math"
2730. Find the Longest Semi-Repetitive Substring,Medium,66.3K,24.9K,37.6%,288,24,"string, sliding-window"
2731. Movement of Robots,Medium,50.5K,14.2K,28.1%,489,23,"array, brainteaser, sorting, prefix-sum"
2732. Find a Good Subset of the Matrix,Hard,15.6K,7.1K,45.6%,208,9,"array, hash-table, bit-manipulation, matrix"
2733. Neither Minimum nor Maximum,Easy,131.4K,100.7K,76.6%,353,17,"array, sorting"
2734. Lexicographically Smallest String After Substring Operation,Medium,89.8K,28.8K,32.1%,252,29,"string, greedy"
2735. Collecting Chocolates,Medium,37.3K,12.7K,34.1%,290,32,"array, enumeration"
2736. Maximum Sum Queries,Hard,20.3K,5.9K,29.2%,336,17,"array, binary-search, stack, binary-indexed-tree, segment-tree, sorting, monotonic-stack"
2739. Total Distance Traveled,Easy,116.1K,45.9K,39.5%,284,18,"math, simulation"
2740. Find the Value of the Partition,Medium,53K,34.7K,65.4%,289,25,"array, sorting"
2741. Special Permutations,Medium,51.8K,15K,29.0%,561,27,"array, dynamic-programming, bit-manipulation, bitmask"
2742. Painting the Walls,Hard,130.6K,66.2K,50.7%,1.4K,137,"array, dynamic-programming"
2744. Find Maximum Number of String Pairs,Easy,95.1K,78K,82.0%,367,10,"array, hash-table, string, simulation"
2745. Construct the Longest New String,Medium,39K,21.2K,54.4%,310,18,"math, dynamic-programming, greedy, brainteaser"
2746. Decremental String Concatenation,Medium,32.5K,8.9K,27.3%,363,18,"array, string, dynamic-programming"
2747. Count Zero Request Servers,Medium,21.8K,7.3K,33.3%,346,14,"array, hash-table, sliding-window, sorting"
2748. Number of Beautiful Pairs,Easy,72.7K,36.9K,50.8%,209,18,"array, hash-table, math, counting, number-theory"
2749. Minimum Operations to Make the Integer Zero,Medium,33.2K,10.1K,30.4%,289,14,"bit-manipulation, brainteaser"
2750. Ways to Split Array Into Good Subarrays,Medium,65.7K,22.7K,34.6%,443,10,"array, math, dynamic-programming"
2751. Robot Collisions,Hard,194.6K,110.9K,57.0%,1.1K,257,"array, stack, sorting, simulation"
2760. Longest Even Odd Subarray With Threshold,Easy,127.3K,38.3K,30.1%,297,36,"array, sliding-window"
2761. Prime Pairs With Target Sum,Medium,90.2K,31.3K,34.7%,369,19,"array, math, enumeration, number-theory"
2762. Continuous Subarrays,Medium,51.3K,21.4K,41.8%,713,25,"array, queue, sliding-window, heap-priority-queue, ordered-set, monotonic-queue"
2763. Sum of Imbalance Numbers of All Subarrays,Hard,17.4K,8.2K,47.0%,310,5,"array, hash-table, ordered-set"
2765. Longest Alternating Subarray,Easy,76.5K,26.3K,34.4%,217,22,"array, enumeration"
2766. Relocate Marbles,Medium,40.6K,21.2K,52.2%,197,9,"array, hash-table, sorting, simulation"
2767. Partition String Into Minimum Beautiful Substrings,Medium,32.3K,17.4K,53.9%,364,11,"hash-table, string, dynamic-programming, backtracking"
2768. Number of Black Blocks,Medium,23.4K,8.6K,36.9%,229,12,"array, hash-table, enumeration"
2769. Find the Maximum Achievable Number,Easy,133.3K,121.3K,91.0%,366,164,math
2770. Maximum Number of Jumps to Reach the Last Index,Medium,89.6K,28.5K,31.8%,431,13,"array, dynamic-programming"
2771. Longest Non-decreasing Subarray From Two Arrays,Medium,89.7K,26.7K,29.8%,599,13,"array, dynamic-programming"
2772. Apply Operations to Make All Array Elements Equal to Zero,Medium,41K,13.7K,33.4%,393,7,"array, prefix-sum"
2778. Sum of Squares of Special Elements,Easy,92.4K,75.7K,81.9%,282,33,"array, enumeration"
2779. Maximum Beauty of an Array After Applying Operation,Medium,68.6K,26.7K,39.0%,623,21,"array, binary-search, sliding-window, sorting"
2780. Minimum Index of a Valid Split,Medium,39.1K,24.5K,62.6%,338,12,"array, hash-table, sorting"
2781. Length of the Longest Valid Substring,Hard,86.3K,32.9K,38.1%,567,22,"array, hash-table, string, sliding-window"
2784. Check if Array is Good,Easy,106.3K,52.5K,49.4%,277,15,"array, hash-table, sorting"
2785. Sort Vowels in a String,Medium,171.8K,139.5K,81.2%,1K,49,"string, sorting"
2786. Visit Array Positions to Maximize Score,Medium,56.1K,20.5K,36.4%,484,15,"array, dynamic-programming"
2787. Ways to Express an Integer as Sum of Powers,Medium,58.5K,20K,34.2%,406,15,dynamic-programming
2788. Split Strings by Separator,Easy,79K,59.2K,74.9%,318,10,"array, string"
2789. Largest Element in an Array after Merge Operations,Medium,66.3K,31.5K,47.5%,469,20,"array, greedy"
2790. Maximum Number of Groups With Increasing Length,Hard,47.3K,9.6K,20.4%,403,15,"array, math, binary-search, greedy, sorting"
2791. Count Paths That Can Form a Palindrome in a Tree,Hard,14.6K,7K,48.0%,392,9,"dynamic-programming, bit-manipulation, tree, depth-first-search, bitmask"
2798. Number of Employees Who Met the Target,Easy,201.2K,176.8K,87.9%,509,32,array
2799. Count Complete Subarrays in an Array,Medium,66.1K,43.5K,65.8%,572,19,"array, hash-table, sliding-window"
2800. Shortest String That Contains Three Strings,Medium,52.6K,16.3K,30.9%,328,14,"string, greedy, enumeration"
2801. Count Stepping Numbers in Range,Hard,29.3K,8.3K,28.5%,335,19,"string, dynamic-programming"
2806. Account Balance After Rounded Purchase,Easy,85.2K,45.5K,53.4%,256,11,math
2807. Insert Greatest Common Divisors in Linked List,Medium,242.8K,224.2K,92.3%,1K,159,"linked-list, math, number-theory"
2808. Minimum Seconds to Equalize a Circular Array,Medium,58.9K,16K,27.2%,522,16,"array, hash-table"
2809. Minimum Time to Make Array Sum At Most x,Hard,16.3K,4.4K,27.1%,233,12,"array, dynamic-programming, sorting"
2810. Faulty Keyboard,Easy,104K,87.7K,84.3%,436,13,"string, simulation"
2811. Check if it is Possible to Split Array,Medium,88.5K,30K,33.9%,499,26,"array, dynamic-programming, greedy"
2812. Find the Safest Path in a Grid,Medium,199.9K,97.6K,48.8%,1.6K,240,"array, binary-search, breadth-first-search, union-find, matrix"
2813. Maximum Elegance of a K-Length Subsequence,Hard,20.8K,6.9K,33.2%,307,8,"array, hash-table, stack, greedy, sorting, heap-priority-queue"
2815. Max Pair Sum in an Array,Easy,82.1K,48.3K,58.8%,384,25,"array, hash-table"
2816. Double a Number Represented as a Linked List,Medium,281.9K,173.3K,61.5%,1.2K,109,"linked-list, math, stack"
2817. Minimum Absolute Difference Between Elements With Constraint,Medium,80.3K,27.7K,34.5%,682,23,"array, binary-search, ordered-set"
2818. Apply Operations to Maximize Score,Hard,22.1K,7.3K,32.8%,329,13,"array, math, stack, greedy, monotonic-stack, number-theory"
2824. Count Pairs Whose Sum is Less than Target,Easy,201.4K,176.2K,87.5%,621,37,"array, two-pointers, binary-search, sorting"
2825. Make String a Subsequence Using Cyclic Increments,Medium,72.3K,36K,49.7%,323,13,"two-pointers, string"
2826. Sorting Three Groups,Medium,49.4K,20.9K,42.3%,501,20,"array, binary-search, dynamic-programming"
2827. Number of Beautiful Integers in the Range,Hard,53K,9.9K,18.7%,355,28,"math, dynamic-programming"
2828. Check if a String Is an Acronym of Words,Easy,121.4K,101K,83.2%,326,24,"array, string"
2829. Determine the Minimum Sum of a k-avoiding Array,Medium,58.1K,35.9K,61.7%,333,12,"math, greedy"
2830. Maximize the Profit as the Salesman,Medium,61.8K,22.7K,36.7%,671,23,"array, hash-table, binary-search, dynamic-programming, sorting"
2831. Find the Longest Equal Subarray,Medium,59.7K,21.6K,36.1%,686,11,"array, hash-table, binary-search, sliding-window"
2833. Furthest Point From Origin,Easy,77K,50.2K,65.2%,246,12,"string, counting"
2834. Find the Minimum Possible Sum of a Beautiful Array,Medium,82K,30.8K,37.5%,296,28,"math, greedy"
2835. Minimum Operations to Form Subsequence With Target Sum,Hard,37.7K,12.3K,32.7%,527,26,"array, greedy, bit-manipulation"
2836. Maximize Value of Function in a Ball Passing Game,Hard,15.9K,5K,31.5%,295,14,"array, dynamic-programming, bit-manipulation"
2839. Check if Strings Can be Made Equal With Operations I,Easy,82.6K,39.2K,47.5%,186,15,string
2840. Check if Strings Can be Made Equal With Operations II,Medium,49.1K,27.6K,56.2%,258,17,"hash-table, string, sorting"
2841. Maximum Sum of Almost Unique Subarray,Medium,68.1K,26.3K,38.6%,279,27,"array, hash-table, sliding-window"
2842. Count K-Subsequences of a String With Maximum Beauty,Hard,43.5K,13K,29.7%,338,17,"hash-table, math, string, greedy, combinatorics"
2843. Count Symmetric Integers,Easy,65.8K,49.1K,74.6%,259,23,"math, enumeration"
2844. Minimum Operations to Make a Special Number,Medium,69K,26.5K,38.4%,349,12,"math, string, greedy, enumeration"
2845. Count of Interesting Subarrays,Medium,41.3K,14.9K,35.9%,500,19,"array, hash-table, prefix-sum"
2846. Minimum Edge Weight Equilibrium Queries in a Tree,Hard,14.5K,6.5K,44.7%,309,11,"array, tree, graph, strongly-connected-component"
2848. Points That Intersect With Cars,Easy,71.1K,53.7K,75.5%,283,22,"array, hash-table, prefix-sum"
2849. Determine if a Cell Is Reachable at a Given Time,Medium,278.5K,99.4K,35.7%,820,134,math
2850. Minimum Moves to Spread Stones Over Grid,Medium,53.2K,24K,45.2%,512,24,"array, dynamic-programming, breadth-first-search, matrix"
2851. String Transformation,Hard,14.9K,4.5K,30.2%,166,17,"math, string, dynamic-programming, string-matching"
2855. Minimum Right Shifts to Sort the Array,Easy,61.2K,35.7K,58.3%,222,14,array
2856. Minimum Array Length After Pair Removals,Medium,104.3K,24.3K,23.3%,377,25,"array, hash-table, two-pointers, binary-search, greedy, counting"
2857. Count Pairs of Points With Distance k,Medium,34.8K,11.2K,32.3%,268,15,"array, hash-table, bit-manipulation"
2858. Minimum Edge Reversals So Every Node Is Reachable,Hard,15.7K,9.2K,58.3%,309,9,"dynamic-programming, depth-first-search, breadth-first-search, graph"
2859. Sum of Values at Indices With K Set Bits,Easy,87.5K,76K,86.8%,270,22,"array, bit-manipulation"
2860. Happy Students,Medium,42.7K,22.5K,52.6%,170,25,"array, sorting, enumeration"
2861. Maximum Number of Alloys,Medium,38.3K,14.9K,38.9%,274,23,"array, binary-search"
2862. Maximum Element-Sum of a Complete Subset of Indices,Hard,17.9K,7.9K,44.4%,213,22,"array, math, number-theory"
2864. Maximum Odd Binary Number,Easy,250K,208K,83.2%,773,71,"math, string, greedy"
2865. Beautiful Towers I,Medium,59.1K,25.9K,43.8%,299,23,"array, stack, monotonic-stack"
2866. Beautiful Towers II,Medium,39.4K,13.8K,35.1%,413,29,"array, stack, monotonic-stack"
2867. Count Valid Paths in a Tree,Hard,20.5K,7.3K,35.7%,254,11,"math, dynamic-programming, tree, depth-first-search, number-theory"
2869. Minimum Operations to Collect Elements,Easy,62.5K,38.1K,60.9%,177,8,"array, hash-table, bit-manipulation"
2870. Minimum Number of Operations to Make Array Empty,Medium,296.3K,183.9K,62.1%,1.4K,123,"array, hash-table, greedy, counting"
2871. Split Array Into Maximum Number of Subarrays,Medium,37.8K,16.6K,44.1%,225,17,"array, greedy, bit-manipulation"
2872. Maximum Number of K-Divisible Components,Hard,19.5K,11.2K,57.3%,192,9,"tree, depth-first-search"
2873. Maximum Value of an Ordered Triplet I,Easy,85.6K,39.5K,46.1%,168,17,array
2874. Maximum Value of an Ordered Triplet II,Medium,65.6K,27.2K,41.5%,282,12,array
2875. Minimum Size Subarray in Infinite Array,Medium,65.4K,20.3K,31.0%,376,17,"array, hash-table, sliding-window, prefix-sum"
2876. Count Visited Nodes in a Directed Graph,Hard,32.9K,10.9K,33.1%,324,17,"dynamic-programming, graph, memoization"
2877. Create a DataFrame from List,Easy,172.3K,140.1K,81.4%,201,26,
2878. Get the Size of a DataFrame,Easy,128.3K,109.2K,85.1%,103,18,
2879. Display the First Three Rows,Easy,122.9K,114.3K,93.0%,86,13,
2880. Select Data,Easy,114K,90.5K,79.4%,89,10,
2881. Create a New Column,Easy,94.3K,85K,90.1%,77,10,
2882. Drop Duplicate Rows,Easy,88.9K,76.1K,85.7%,93,8,
2883. Drop Missing Data,Easy,110.6K,70.8K,64.0%,70,18,
2884. Modify Columns,Easy,84.4K,77.7K,92.1%,70,9,
2885. Rename Columns,Easy,78.5K,67.1K,85.4%,59,12,
2886. Change Data Type,Easy,75K,65.4K,87.3%,64,10,
2887. Fill Missing Data,Easy,87.2K,62.7K,71.9%,64,13,
2888. Reshape Data: Concatenate,Easy,72.7K,65.8K,90.6%,66,14,
2889. Reshape Data: Pivot,Easy,67.1K,55.5K,82.7%,95,13,
2890. Reshape Data: Melt,Easy,60.8K,52.3K,86.1%,79,6,
2891. Method Chaining,Easy,71.2K,54.4K,76.4%,74,7,
2894. Divisible and Non-divisible Sums Difference,Easy,109.9K,98.3K,89.4%,227,15,math
2895. Minimum Processing Time,Medium,50.7K,35.3K,69.7%,259,22,"array, greedy, sorting"
2896. Apply Operations to Make Two Strings Equal,Medium,48.1K,13.1K,27.2%,358,16,"string, dynamic-programming"
2897. Apply Operations on Array to Maximize Sum of Squares,Hard,15.2K,7.1K,46.8%,183,7,"array, hash-table, greedy, bit-manipulation"
2899. Last Visited Integers,Easy,42K,27.9K,66.5%,157,19,"array, simulation"
2900. Longest Unequal Adjacent Groups Subsequence I,Easy,51.7K,31.9K,61.7%,187,35,"array, string, dynamic-programming, greedy"
2901. Longest Unequal Adjacent Groups Subsequence II,Medium,40.4K,11.1K,27.5%,195,23,"array, string, dynamic-programming"
2902. Count of Sub-Multisets With Bounded Sum,Hard,20.8K,4.5K,21.4%,150,17,"array, hash-table, dynamic-programming, sliding-window"
2903. Find Indices With Index and Value Difference I,Easy,68.1K,42.1K,61.8%,142,12,"array, two-pointers"
2904. Shortest and Lexicographically Smallest Beautiful String,Medium,67.5K,26.8K,39.6%,186,11,"string, sliding-window"
2905. Find Indices With Index and Value Difference II,Medium,58.4K,18.8K,32.3%,267,11,"array, two-pointers"
2906. Construct Product Matrix,Medium,41.2K,12.8K,31.0%,224,16,"array, matrix, prefix-sum"
2908. Minimum Sum of Mountain Triplets I,Easy,55.5K,36.4K,65.6%,162,14,array
2909. Minimum Sum of Mountain Triplets II,Medium,45.4K,24.7K,54.3%,196,9,array
2910. Minimum Number of Groups to Create a Valid Assignment,Medium,52.2K,13.1K,25.1%,372,26,"array, hash-table, greedy"
2911. Minimum Changes to Make K Semi-palindromes,Hard,11.2K,4.1K,36.7%,123,12,"two-pointers, string, dynamic-programming"
2913. Subarrays Distinct Element Sum of Squares I,Easy,43.2K,35.8K,82.9%,152,11,"array, hash-table"
2914. Minimum Number of Changes to Make Binary String Beautiful,Medium,33.1K,20.1K,60.6%,142,16,string
2915. Length of the Longest Subsequence That Sums to Target,Medium,64.4K,23.6K,36.6%,231,25,"array, dynamic-programming"
2916. Subarrays Distinct Element Sum of Squares II,Hard,15.5K,3.3K,21.6%,145,12,"array, dynamic-programming, binary-indexed-tree, segment-tree"
2917. Find the K-or of an Array,Easy,37K,27.7K,74.9%,220,33,"array, bit-manipulation"
2918. Minimum Equal Sum of Two Arrays After Replacing Zeros,Medium,81K,29.1K,35.9%,183,16,"array, greedy"
2919. Minimum Increment Operations to Make Array Beautiful,Medium,41.7K,14.4K,34.5%,325,16,"array, dynamic-programming"
2920. Maximum Points After Collecting Coins From All Nodes,Hard,22K,8.2K,37.1%,201,8,"array, dynamic-programming, bit-manipulation, tree, depth-first-search"
2923. Find Champion I,Easy,53.7K,39.7K,73.9%,147,22,"array, matrix"
2924. Find Champion II,Medium,47.1K,27.8K,58.9%,161,13,graph
2925. Maximum Score After Applying Operations on a Tree,Medium,27.4K,13.6K,49.5%,327,31,"dynamic-programming, tree, depth-first-search"
2926. Maximum Balanced Subsequence Sum,Hard,25.4K,6.2K,24.2%,202,14,"array, binary-search, dynamic-programming, binary-indexed-tree, segment-tree"
2928. Distribute Candies Among Children I,Easy,35.9K,27.5K,76.4%,108,16,"math, combinatorics, enumeration"
2929. Distribute Candies Among Children II,Medium,36.3K,12.9K,35.6%,92,23,"math, combinatorics, enumeration"
2930. Number of Strings Which Can Be Rearranged to Contain Substring,Medium,11.7K,6.6K,56.2%,170,11,"math, dynamic-programming, combinatorics"
2931. Maximum Spending After Buying Items,Hard,17.5K,11.3K,64.8%,96,29,"array, greedy, sorting, heap-priority-queue, matrix"
2932. Maximum Strong Pair XOR I,Easy,54.3K,41.6K,76.6%,152,19,"array, hash-table, bit-manipulation, trie, sliding-window"
2933. High-Access Employees,Medium,51K,23K,45.1%,196,8,"array, hash-table, string, sorting"
2934. Minimum Operations to Maximize Last Elements in Arrays,Medium,28.2K,12.8K,45.2%,186,6,"array, enumeration"
2935. Maximum Strong Pair XOR II,Hard,21.5K,6.6K,30.6%,184,10,"array, hash-table, bit-manipulation, trie, sliding-window"
2937. Make Three Strings Equal,Easy,70.1K,30.8K,43.8%,301,16,string
2938. Separate Black and White Balls,Medium,246K,159.8K,65.0%,784,249,"two-pointers, string, greedy"
2939. Maximum Xor Product,Medium,36.6K,9.8K,26.7%,209,18,"math, greedy, bit-manipulation"
2940. Find Building Where Alice and Bob Can Meet,Hard,20.9K,7.4K,35.3%,238,8,"array, binary-search, stack, binary-indexed-tree, segment-tree, heap-priority-queue, monotonic-stack"
2942. Find Words Containing Character,Easy,185.8K,165K,88.8%,358,21,"array, string"
2943. Maximize Area of Square Hole in Grid,Medium,32.6K,12.1K,37.2%,229,25,"array, sorting"
2944. Minimum Number of Coins for Fruits,Medium,36.1K,17K,46.9%,261,24,"array, dynamic-programming, queue, heap-priority-queue, monotonic-queue"
2945. Find Maximum Non-decreasing Array Length,Hard,26.6K,4.5K,16.7%,175,15,"array, binary-search, dynamic-programming, stack, queue, monotonic-stack, monotonic-queue"
2946. Matrix Similarity After Cyclic Shifts,Easy,41.5K,24.4K,58.9%,176,25,"array, math, matrix, simulation"
2947. Count Beautiful Substrings I,Medium,35.1K,21.9K,62.2%,146,10,"hash-table, math, string, enumeration, number-theory, prefix-sum"
2948. Make Lexicographically Smallest Array by Swapping Elements,Medium,24.2K,9.7K,40.1%,268,20,"array, union-find, sorting"
2949. Count Beautiful Substrings II,Hard,21.3K,5.4K,25.5%,184,13,"hash-table, math, string, number-theory, prefix-sum"
2951. Find the Peaks,Easy,71.1K,54K,75.9%,165,10,"array, enumeration"
2952. Minimum Number of Coins to be Added,Medium,36.7K,21.2K,57.8%,365,39,"array, greedy, sorting"
2953. Count Complete Substrings,Hard,26.5K,7.5K,28.3%,209,18,"hash-table, string, sliding-window"
2954. Count the Number of Infection Sequences,Hard,9.3K,3.4K,36.8%,119,11,"array, math, combinatorics"
2956. Find Common Elements Between Two Arrays,Easy,80.4K,67.6K,84.2%,227,21,"array, hash-table"
2957. Remove Adjacent Almost-Equal Characters,Medium,43.4K,23K,53.1%,173,15,"string, dynamic-programming, greedy"
2958. Length of Longest Subarray With at Most K Frequency,Medium,276.5K,154.4K,55.9%,1.1K,129,"array, hash-table, sliding-window"
2959. Number of Possible Sets of Closing Branches,Hard,14.5K,7.5K,51.8%,165,14,"bit-manipulation, graph, heap-priority-queue, enumeration, shortest-path"
2960. Count Tested Devices After Test Operations,Easy,54.3K,43.9K,80.8%,144,11,"array, simulation, counting"
2961. Double Modular Exponentiation,Medium,45.2K,21.9K,48.4%,114,15,"array, math, simulation"
2962. Count Subarrays Where Max Element Appears at Least K Times,Medium,230.1K,135.6K,58.9%,1.2K,147,"array, sliding-window"
2963. Count the Number of Good Partitions,Hard,22.4K,11.2K,49.8%,248,11,"array, hash-table, math, combinatorics"
2965. Find Missing and Repeated Values,Easy,76K,58K,76.3%,214,21,"array, hash-table, math, matrix"
2966. Divide Array Into Arrays With Max Difference,Medium,214.7K,154.4K,71.9%,840,141,"array, greedy, sorting"
2967. Minimum Cost to Make Array Equalindromic,Medium,60K,13.5K,22.4%,228,24,"array, math, binary-search, greedy, sorting"
2968. Apply Operations to Maximize Frequency Score,Hard,18K,6.9K,38.3%,251,9,"array, binary-search, sliding-window, sorting, prefix-sum"
2970. Count the Number of Incremovable Subarrays I,Easy,40K,21.3K,53.1%,155,32,"array, two-pointers, binary-search, enumeration"
2971. Find Polygon With the Largest Perimeter,Medium,206.6K,136.4K,66.1%,793,90,"array, greedy, sorting, prefix-sum"
2972. Count the Number of Incremovable Subarrays II,Hard,20K,8.2K,40.9%,207,18,"array, two-pointers, binary-search"
2973. Find Number of Coins to Place in Tree Nodes,Hard,23.4K,8.7K,37.1%,180,10,"dynamic-programming, tree, depth-first-search, sorting, heap-priority-queue"
2974. Minimum Number Game,Easy,108.8K,93.6K,86.0%,234,15,"array, sorting, heap-priority-queue, simulation"
2975. Maximum Square Area by Removing Fences From a Field,Medium,63.2K,14.8K,23.5%,140,34,"array, hash-table, enumeration"
2976. Minimum Cost to Convert String I,Medium,175.4K,102.3K,58.3%,873,141,"array, string, graph, shortest-path"
2977. Minimum Cost to Convert String II,Hard,20.3K,5.2K,25.7%,101,16,"array, string, dynamic-programming, graph, trie, shortest-path"
2980. Check if Bitwise OR Has Trailing Zeros,Easy,50.5K,35.8K,71.0%,108,6,"array, bit-manipulation"
2981. Find Longest Special Substring That Occurs Thrice I,Medium,55.2K,24.8K,44.9%,183,16,"hash-table, string, binary-search, sliding-window, counting"
2982. Find Longest Special Substring That Occurs Thrice II,Medium,53.3K,18.3K,34.3%,259,23,"hash-table, string, binary-search, sliding-window, counting"
2983. Palindrome Rearrangement Queries,Hard,12.7K,3.3K,25.9%,89,14,"hash-table, string, prefix-sum"
2996. Smallest Missing Integer Greater Than Sequential Prefix Sum,Easy,101.1K,33.5K,33.2%,117,54,"array, hash-table, sorting"
2997. Minimum Number of Operations to Make Array XOR Equal to K,Medium,130.8K,112.9K,86.3%,588,104,"array, bit-manipulation"
2998. Minimum Number of Operations to Make X and Y Equal,Medium,45.6K,21.7K,47.6%,257,26,"dynamic-programming, breadth-first-search, memoization"
2999. Count the Number of Powerful Integers,Hard,19K,5.1K,26.9%,108,7,"math, string, dynamic-programming"
3000. Maximum Area of Longest Diagonal Rectangle,Easy,102.5K,37.6K,36.6%,107,15,array
3001. Minimum Moves to Capture The Queen,Medium,86.9K,18.4K,21.2%,159,40,"array, enumeration"
3002. Maximum Size of a Set After Removals,Medium,35.9K,16.5K,46.0%,289,19,"array, hash-table, greedy"
3003. Maximize the Number of Partitions After Operations,Hard,12.6K,3.6K,28.4%,136,14,"string, dynamic-programming, bit-manipulation, bitmask"
3005. Count Elements With Maximum Frequency,Easy,278.1K,218.5K,78.6%,654,87,"array, hash-table, counting"
3006. Find Beautiful Indices in the Given Array I,Medium,76.2K,28.2K,37.1%,159,17,"two-pointers, string, binary-search, rolling-hash, string-matching, hash-function"
3007. Maximum Number That Sum of the Prices Is Less Than or Equal to K,Medium,26.5K,9.8K,37.0%,299,21,"binary-search, dynamic-programming, bit-manipulation"
3008. Find Beautiful Indices in the Given Array II,Hard,47.3K,11.9K,25.2%,172,14,"two-pointers, string, binary-search, rolling-hash, string-matching, hash-function"
3010. Divide an Array Into Subarrays With Minimum Cost I,Easy,52.3K,34.9K,66.8%,96,20,"array, sorting, enumeration"
3011. Find if Array Can Be Sorted,Medium,46.3K,24K,51.8%,128,20,"array, bit-manipulation, sorting"
3012. Minimize Length of Array Using Operations,Medium,40.9K,14.5K,35.4%,170,24,"array, math, greedy, number-theory"
3013. Divide an Array Into Subarrays With Minimum Cost II,Hard,16.8K,5.4K,32.2%,118,13,"array, hash-table, sliding-window, heap-priority-queue"
3014. Minimum Number of Pushes to Type Word I,Easy,63.5K,42.4K,66.7%,164,20,"math, string, greedy"
3015. Count the Number of Houses at a Certain Distance I,Medium,36K,20.5K,56.9%,159,9,"breadth-first-search, graph, prefix-sum"
3016. Minimum Number of Pushes to Type Word II,Medium,217K,175.1K,80.7%,741,185,"hash-table, string, greedy, sorting, counting"
3017. Count the Number of Houses at a Certain Distance II,Hard,14.5K,3.2K,22.2%,84,19,"graph, prefix-sum"
3019. Number of Changing Keys,Easy,67.4K,54.7K,81.1%,121,17,string
3020. Find the Maximum Number of Elements in Subset,Medium,90.5K,23.5K,26.0%,190,30,"array, hash-table, enumeration"
3021. Alice and Bob Playing Flower Game,Medium,42.4K,20.4K,48.0%,92,34,math
3022. Minimize OR of Remaining Elements Using Operations,Hard,9.6K,3.2K,33.7%,91,9,"array, greedy, bit-manipulation"
3024. Type of Triangle,Easy,133.9K,51.4K,38.4%,106,22,"array, math, sorting"
3025. Find the Number of Ways to Place People I,Medium,34.7K,14.5K,41.8%,86,23,"array, math, geometry, sorting, enumeration"
3026. Maximum Good Subarray Sum,Medium,114K,22.3K,19.5%,358,43,"array, hash-table, prefix-sum"
3027. Find the Number of Ways to Place People II,Hard,21.3K,10.3K,48.5%,99,19,"array, math, geometry, sorting, enumeration"
3028. Ant on the Boundary,Easy,69.8K,52.4K,75.1%,119,41,"array, simulation, prefix-sum"
3029. Minimum Time to Revert Word to Initial State I,Medium,49.6K,20.5K,41.4%,146,19,"string, rolling-hash, string-matching, hash-function"
3030. Find the Grid of Region Average,Medium,23.1K,10.2K,44.1%,78,21,"array, matrix"
3031. Minimum Time to Revert Word to Initial State II,Hard,31.7K,11.3K,35.8%,140,15,"string, rolling-hash, string-matching, hash-function"
3033. Modify the Matrix,Easy,62.5K,43K,68.8%,116,10,"array, matrix"
3034. Number of Subarrays That Match a Pattern I,Medium,40.1K,27K,67.2%,97,13,"array, rolling-hash, string-matching, hash-function"
3035. Maximum Palindromes After Operations,Medium,35.3K,15.2K,43.1%,216,19,"array, hash-table, string, greedy, sorting, counting"
3036. Number of Subarrays That Match a Pattern II,Hard,34.6K,11.4K,33.0%,147,15,"array, rolling-hash, string-matching, hash-function"
3038. Maximum Number of Operations With the Same Score I,Easy,67.2K,35.3K,52.5%,79,18,"array, simulation"
3039. Apply Operations to Make String Empty,Medium,47.2K,26.9K,57.0%,136,14,"array, hash-table, sorting, counting"
3040. Maximum Number of Operations With the Same Score II,Medium,62K,20.9K,33.8%,160,38,"array, dynamic-programming, memoization"
3041. Maximize Consecutive Elements in an Array After Modification,Hard,24.7K,8K,32.5%,152,15,"array, dynamic-programming, sorting"
3042. Count Prefix and Suffix Pairs I,Easy,62.4K,41.2K,66.0%,115,13,"array, string, trie, rolling-hash, string-matching, hash-function"
3043. Find the Length of the Longest Common Prefix,Medium,246.7K,138.8K,56.3%,713,115,"array, hash-table, string, trie"
3044. Most Frequent Prime,Medium,33.1K,16K,48.5%,89,13,"array, hash-table, math, matrix, counting, enumeration, number-theory"
3045. Count Prefix and Suffix Pairs II,Hard,35.4K,9K,25.5%,161,15,"array, string, trie, rolling-hash, string-matching, hash-function"
3046. Split the Array,Easy,93.4K,55.3K,59.2%,121,20,"array, hash-table, counting"
3047. Find the Largest Area of Square Inside Two Rectangles,Medium,44.3K,20.2K,45.6%,104,25,"array, math, geometry"
3048. Earliest Second to Mark Indices I,Medium,23.9K,8.7K,36.6%,175,37,"array, binary-search"
3049. Earliest Second to Mark Indices II,Hard,11.3K,2.6K,22.8%,76,14,"array, binary-search, greedy, heap-priority-queue"
3065. Minimum Operations to Exceed Threshold Value I,Easy,78.3K,67.6K,86.4%,92,22,array
3066. Minimum Operations to Exceed Threshold Value II,Medium,105K,30K,28.6%,92,23,"array, heap-priority-queue, simulation"
3067. Count Pairs of Connectable Servers in a Weighted Tree Network,Medium,21.9K,12.8K,58.2%,200,16,"array, tree, depth-first-search"
3068. Find the Maximum Sum of Node Values,Hard,108.3K,72.1K,66.6%,650,138,"array, dynamic-programming, greedy, bit-manipulation, tree, sorting"
3069. Distribute Elements Into Two Arrays I,Easy,62.2K,45.5K,73.2%,83,15,"array, simulation"
